Logfilename,Datum,Zeit,Severity,Type/Source,Description
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:29:51.278,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice04.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice04.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:29:51.278,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice05.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice05.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:30:15.140,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Circular_5.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Circular_5.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:30:15.140,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Cylindrical_5.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Cylindrical_5.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:30:15.140,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_5.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_5.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 30.Jul. ,15:30:15.140,error,transferring file from 'C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice02.fbx' to '<bundling>C:\Users\AVStumpfl\Desktop\SMI\2025-05-07\C%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice02.fbx' failed: file not found (localhost),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Fri 01.Aug. ,10:07:11.872,error,transferring file from '//192.168.205.3/smb02/cms-media/4665104-uhd_3840_2160_30fps.mp4' to '<default>\\192.168.205.3\smb02\cms-media\4665104-uhd_3840_2160_30fps.mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Fri 01.Aug. ,10:07:11.872,error,transferring file from '//192.168.205.3/smb02/cms-media/GH_DP2_SKIE_B_5760x1416_202412201302.mov' to '<default>\\192.168.205.3\smb02\cms-media\GH_DP2_SKIE_B_5760x1416_202412201302.mov' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Fri 01.Aug. ,10:07:11.872,error,transferring file from '//192.168.205.3/smb02/cms-media/GH_DP4_GEOM_LOOP_5760x1416_2412101001.mov' to '<default>\\192.168.205.3\smb02\cms-media\GH_DP4_GEOM_LOOP_5760x1416_2412101001.mov' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 06.Aug. ,15:20:19.318,error,transferring file from '//192.168.205.3/smb02/cms-media/4665104-uhd_3840_2160_30fps.mp4' to '<preview>\\192.168.205.3\smb02\cms-media\4665104-uhd_3840_2160_30fps.mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 06.Aug. ,15:20:19.318,error,transferring file from '//192.168.205.3/smb02/cms-media/GH_DP2_SKIE_B_5760x1416_202412201302.mov' to '<preview>\\192.168.205.3\smb02\cms-media\GH_DP2_SKIE_B_5760x1416_202412201302.mov' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 27.Aug. ,16:51:34.681,error,10x 'The I/O operation has been aborted because of either a thread exit or an application request.',
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Wed 27.Aug. ,17:42:37.710,error,10x 'An existing connection was forcibly closed by the remote host.',
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_Grid+Bars_v003/DP2/HOUS_LEDS_LOOP_Grid+Bars_DP2_v003_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_Grid+Bars_v003\DP2\HOUS_LEDS_LOOP_Grid+Bars_DP2_v003_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_Grid+Bars_v003/DP3/HOUS_LEDS_LOOP_Grid+Bars_DP3_v003_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_Grid+Bars_v003\DP3\HOUS_LEDS_LOOP_Grid+Bars_DP3_v003_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_Grid+Bars_v003/DP1/HOUS_LEDS_LOOP_Grid+Bars_DP1_v003_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_Grid+Bars_v003\DP1\HOUS_LEDS_LOOP_Grid+Bars_DP1_v003_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_Grid+Bars_v003/DP5/HOUS_LEDS_LOOP_Grid+Bars_DP5_v003_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_Grid+Bars_v003\DP5\HOUS_LEDS_LOOP_Grid+Bars_DP5_v003_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_Grid+Bars_v003/DP4/HOUS_LEDS_LOOP_Grid+Bars_DP4_v003_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_Grid+Bars_v003\DP4\HOUS_LEDS_LOOP_Grid+Bars_DP4_v003_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.947,error,transferring file from 'D:/Content/HOUS_LEDS_ANIM_GradientColor_Horizontal_v001/DP3/HOUS_LEDS_ANIM_GradientColor_Horizontal_DP3_v001_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_ANIM_GradientColor_Horizontal_v001\DP3\HOUS_LEDS_ANIM_GradientColor_Horizontal_DP3_v001_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.948,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_GradientColor_Vertical_v002/DP6/HOUS_LEDS_LOOP_GradientColor_Vertical_DP6_v002_[0000-0898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_GradientColor_Vertical_v002\DP6\HOUS_LEDS_LOOP_GradientColor_Vertical_DP6_v002_[0000-0898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.948,error,transferring file from 'D:/Content/HOUS_LEDS_ANIM_GradientColor_Horizontal_v001/DP4/HOUS_LEDS_ANIM_GradientColor_Horizontal_DP4_v001_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_ANIM_GradientColor_Horizontal_v001\DP4\HOUS_LEDS_ANIM_GradientColor_Horizontal_DP4_v001_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.948,error,transferring file from 'D:/Content/HOUS_LEDS_ANIM_GradientColor_Horizontal_v001/DP2/HOUS_LEDS_ANIM_GradientColor_Horizontal_DP2_v001_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_ANIM_GradientColor_Horizontal_v001\DP2\HOUS_LEDS_ANIM_GradientColor_Horizontal_DP2_v001_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.948,error,transferring file from 'D:/Content/HOUS_LEDS_ANIM_GradientColor_Horizontal_v001/DP1/HOUS_LEDS_ANIM_GradientColor_Horizontal_DP1_v001_[00000-00898].mp4' to '<default>D:\Content\HOUS_LEDS_ANIM_GradientColor_Horizontal_v001\DP1\HOUS_LEDS_ANIM_GradientColor_Horizontal_DP1_v001_[00000-00898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110-3.log,Thu 28.Aug. ,16:14:01.948,error,transferring file from 'D:/Content/HOUS_LEDS_LOOP_GradientColor_Vertical_v002/DP2/HOUS_LEDS_LOOP_GradientColor_Vertical_DP2_v002_[0000-0898].mp4' to '<default>D:\Content\HOUS_LEDS_LOOP_GradientColor_Vertical_v002\DP2\HOUS_LEDS_LOOP_GradientColor_Vertical_DP2_v002_[0000-0898].mp4' failed: file not found (192.168.210.2:27102),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_5_fbx\avo\HOUS_NDisplay_v001_FD_Standard_5_0_5241093589283004253.avo' to '<bundling>D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_5_fbx\avo\HOUS_NDisplay_v001_FD_Standard_5_0_5241093589283004253.avo' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_4_fbx\avo\HOUS_NDisplay_v001_FD_Standard_4_0_5241093589283004253.avo' to '<bundling>D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_4_fbx\avo\HOUS_NDisplay_v001_FD_Standard_4_0_5241093589283004253.avo' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_3_fbx\avo\HOUS_NDisplay_v001_FD_Standard_3_0_5241093589283004253.avo' to '<bundling>D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_3_fbx\avo\HOUS_NDisplay_v001_FD_Standard_3_0_5241093589283004253.avo' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_2_fbx\avo\HOUS_NDisplay_v001_FD_Standard_2_0_5241093589283004253.avo' to '<bundling>D:\HAS Resources\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Standard_2_fbx\avo\HOUS_NDisplay_v001_FD_Standard_2_0_5241093589283004253.avo' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP2_CLOK_LOOP_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP2_CLOK_LOOP_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP3_CLOK_IN_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP3_CLOK_IN_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP3_CLOK_LOOP_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP3_CLOK_LOOP_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP3_CLOK_OUT_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP3_CLOK_OUT_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP4_CLOK_IN_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP4_CLOK_IN_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP4_CLOK_LOOP_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP4_CLOK_LOOP_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP4_CLOK_OUT_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP4_CLOK_OUT_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP5_CLOK_IN_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP5_CLOK_IN_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP5_CLOK_LOOP_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP5_CLOK_LOOP_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP5_CLOK_OUT_5760x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP5_CLOK_OUT_5760x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP6_CLOK_IN_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP6_CLOK_IN_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP6_CLOK_LOOP_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP6_CLOK_LOOP_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/CLOK/GH_DP6_CLOK_OUT_5476x1416_202506101354.mov' to '<bundling>D:\GH_Integration_Delivery\CLOK\GH_DP6_CLOK_OUT_5476x1416_202506101354.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP1_MANU_IN_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP1_MANU_IN_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP1_MANU_LOOP_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP1_MANU_LOOP_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP1_MANU_OUT_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP1_MANU_OUT_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP2_MANU_IN_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP2_MANU_IN_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP2_MANU_LOOP_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP2_MANU_LOOP_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP2_MANU_OUT_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP2_MANU_OUT_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP3_MANU_IN_5476x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP3_MANU_IN_5476x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP3_MANU_LOOP_5476x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP3_MANU_LOOP_5476x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP3_MANU_OUT_5476x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP3_MANU_OUT_5476x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
D:\Unconfirmed 536085 - Copy\PX4-26536-DIR-01\rx_logs\utility-27110.log,Fri 24.Oct. ,12:41:39.787,error,transferring file from 'D:/GH_Integration_Delivery/MANU/GH_DP4_MANU_IN_5760x1416_202510012018.mov' to '<bundling>D:\GH_Integration_Delivery\MANU\GH_DP4_MANU_IN_5760x1416_202510012018.mov' failed: copying failed (finalizing: destination file not open),
