Log-Kategorie,Ordner,Dateiname,Fehler-Kategorie,Datum,Zeit,Severity,Type/Source,Description
rx_logs,,file_4.log,Netzwerk,Tue 30.Sep. ,15:57:16.546,error,transferring file from '\\10.0.0.8\share_0\cms-media\4665105-uhd_2560_1440_30fps.mp4' to '<default>\\10.0.0.8\share_0\cms-media\4665105-uhd_2560_1440_30fps.mp4' failed: file not found (10.0.0.7:27102),
rx_logs,,file_4.log,Netzwerk,Wed 01.Oct. ,02:12:45.812,error,transferring file from '\\10.0.0.8\share_0\cms-media\LEFEikw0MR_1600.jpg' to '<default>\\10.0.0.8\share_0\cms-media\LEFEikw0MR_1600.jpg' failed: host not found (10.0.0.7:27102),
rx_logs,,file_4.log,Datei,Wed 01.Oct. ,02:12:45.812,error,transferring file from 'Content/...[00000-00898].mp4' to '<default>Content/...[00000-00898].mp4' failed: host not found (10.0.0.7:27102),
rx_logs,,file_4.log,Netzwerk,Wed 01.Oct. ,02:12:45.812,error,No connection could be made because the target machine actively refused it.,
rx_logs,,file_5.log,Netzwerk,Wed 21.May. ,12:08:48.255,error,error while enumerating Data/...* : The network path was not found. (53),
rx_logs,,file_5.log,Netzwerk,Wed 21.May. ,12:08:48.255,error,transferring file from '\\10.0.0.2\share_0\cms-media\GH_DP2_SKIE_B_5760x1416_202412201302.mov' to '<default>\\10.0.0.2\share_0\cms-media\GH_DP2_SKIE_B_5760x1416_202412201302.mov' failed: file not found (localhost),
rx_logs,,file_5.log,Datei,Wed 30.Jul. ,15:29:51.267,error,transferring file from 'Projects/.../*.log' to '<bundling>Projects/.../*.log' failed: copying failed (LocalHost: error reading src file),
rx_logs,,file_5.log,Datei,Wed 30.Jul. ,15:29:51.278,error,transferring file from 'Data/...%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Circular_0.fbx' to '<bundling>Data/...%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\D%3A\PX4Projects\HAS\2024-05-29OculusScreens\HOUS_NDisplay_v001_FD_Circular_0.fbx' failed: file not found (localhost),
rx_logs,,file_5.log,Datei,Wed 30.Jul. ,15:29:51.278,error,transferring file from 'Data/...%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice00.fbx' to '<bundling>Data/...%3A\Users\Jose Veliz\Documents\smart-monkeys\Hous_PixeraSetup_SMIControls_v4\Hous_PixeraSetup_SMIControls_v4\D%3A\PX4Projects\HAS\Gentilhomme_Pixera_Project\HOUS_PixeraSetup_SMIControls_v3\C%3A\Users\AVStumpfl\Desktop\HAS\Gentilhomme_Pixera_Project\C%3A\Users\Pixera\AV Stumpfl GmbH\AV Stumpfl GmbH Team Site - PIXERA_Global\Projects-Support-Key Account\Ford AV (Houston Airport)\ProjectAndMediaFiles\Pixera\GentilhommeDrive\UnrealCollab\HOU\ELEMENTS\HOUS_AirportModel_v002_EGV\fbx\HOUS_AirportModel_v002_EGV_OculusScreenSlice00.fbx' failed: file not found (localhost),
rx_logs,,file_5.log,Netzwerk,Fri 01.Aug. ,10:07:11.872,error,transferring file from 'Data/.../*.mp4' to '<default>\\10.0.0.2\share_0\cms-media\4665104-uhd_3840_2160_30fps.mp4' failed: file not found (10.0.0.5:27102),
rx_logs,,file_5.log,Netzwerk,Wed 06.Aug. ,15:20:19.318,error,transferring file from 'Data/.../*.mp4' to '<preview>\\10.0.0.2\share_0\cms-media\4665104-uhd_3840_2160_30fps.mp4' failed: file not found (10.0.0.5:27102),
rx_logs,,file_5.log,System,Wed 27.Aug. ,16:51:34.681,error,10x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_5.log,Netzwerk,Wed 27.Aug. ,17:42:37.710,error,10x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_6.log,Datei,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'Data/.../*.avo' to '<bundling>Data/.../*.avo' failed: copying failed (finalizing: destination file not open),
rx_logs,,file_6.log,Datei,Fri 24.Oct. ,12:41:39.786,error,transferring file from 'Data/.../*.mov' to '<bundling>Data/.../*.mov' failed: copying failed (finalizing: destination file not open),
